,Product,Product Page,Product Title,Product subtitle,Developer,Rating,Ranking,Availability,Size,Lang,Version,Category
661,Mawareeth,https://itunes.apple.com/sa/app/mawareeth/id579958021?mt=8,"Mawareeth
          4+",NA,Arabia For Information Technology,4.2,#89 in Education,Free,23.4 MB,English,Version 2,Education
662,Bamba Surprise Peekaboo,https://itunes.apple.com/sa/app/bamba-surprise-peekaboo/id1046433139?mt=8,"Bamba Surprise Peekaboo
          4+",ABCs and Spelling App,Mezmedia,3.8,"3.8, 19 Ratings",Free,300.4 MB,English,Version 1.1.5,Education
663,‫مفكرتي - تطبيق تسجيل صوتي مع جدول محاضرات دراسي و ماسح PDF‬,https://itunes.apple.com/sa/app/%D9%85%D9%81%D9%83%D8%B1%D8%AA%D9%8A-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%B3%D8%AC%D9%8A%D9%84-%D8%B5%D9%88%D8%AA%D9%8A-%D9%85%D8%B9-%D8%AC%D8%AF%D9%88%D9%84-%D9%85%D8%AD%D8%A7%D8%B6%D8%B1%D8%A7%D8%AA-%D8%AF%D8%B1%D8%A7%D8%B3%D9%8A-%D9%88-%D9%85%D8%A7%D8%B3%D8%AD-pdf/id1035644528?mt=8,"‫مفكرتي - تطبيق تسجيل صوتي مع جدول محاضرات دراسي و ماسح PDF‬
          4+",NA,Romman Smart Applications LLC,3.7,"3.7, 49 Ratings",Free,17.3 MB,English,NA,Education
664,Khan Academy,https://itunes.apple.com/sa/app/khan-academy/id469863705?mt=8,"Khan Academy
          4+",You can learn anything,Khan Academy,4.4,"4.4, 43 Ratings",Free,78.6 MB,"English, French, Indonesian, Norwegian Bokmål, Portuguese, Spanish, Turkish",Version 6.0.3,Education
665,Learn English with Videos!,https://itunes.apple.com/sa/app/learn-english-with-videos/id927987414?mt=8,"Learn English with Videos!
          4+",EnglishCentral,"EnglishCentral, Inc",4.8,"4.8, 22 Ratings",Free,201.4 MB,"English, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Turkish, Vietnamese",Version 4.4.3,Education
666,ماهر المعيقلي القرآن الكريم كاملاً - المعيقلي,https://itunes.apple.com/sa/app/%D9%85%D8%A7%D9%87%D8%B1-%D8%A7%D9%84%D9%85%D8%B9%D9%8A%D9%82%D9%84%D9%8A-%D8%A7%D9%84%D9%82%D8%B1%D8%A2%D9%86-%D8%A7%D9%84%D9%83%D8%B1%D9%8A%D9%85-%D9%83%D8%A7%D9%85%D9%84%D8%A7-%D8%A7%D9%84%D9%85%D8%B9%D9%8A%D9%82%D9%84%D9%8A/id766877998?mt=8,"ماهر المعيقلي القرآن الكريم كاملاً - المعيقلي
          4+",NA,Bios Tech,4.3,#152 in Education,Free,13 MB,English,Version 2.5,Education
667,Kids Tube - Music & ABC Videos for YouTube Kids,https://itunes.apple.com/sa/app/kids-tube-music-abc-videos-for-youtube-kids/id1027671619?mt=8,"Kids Tube - Music & ABC Videos for YouTube Kids
          4+",NA,Nguyen Thu,3.8,"3.8, 117 Ratings",Free,49.9 MB,English,Version 2.0,Education
668,MyStory قصتي,https://itunes.apple.com/sa/app/mystory-%D9%82%D8%B5%D8%AA%D9%8A/id474825233?mt=8,"MyStory قصتي
          4+",NA,PinknBlues,4.1,"4.1, 9 Ratings",Free,84.7 MB,English,Version 2.0,Education
669,Dr. Panda Toy Cars,https://itunes.apple.com/sa/app/dr-panda-toy-cars/id1160688144?mt=8,"Dr. Panda Toy Cars
          4+","Drive cars, trucks, and more!",Dr. Panda Ltd,3.9,"3.9, 75 Ratings",Free,373.2 MB,"English, Danish, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Traditional Chinese, Turkish",Version 1.5,Education
670,Color Drops - Children’s Animated Draw & Paint Game HD!,https://itunes.apple.com/sa/app/color-drops-childrens-animated-draw-paint-game-hd/id484422403?mt=8,"Color Drops - Children’s Animated Draw & Paint Game HD!
          4+",NA,TabTale LTD,4,"4.0, 2 Ratings",Free,84.9 MB,English,Version 3.4,Education
671,Little Panda Chinese Recipes,https://itunes.apple.com/sa/app/little-panda-chinese-recipes/id1058747457?mt=8,"Little Panda Chinese Recipes
          4+",NA,BABYBUS,3.7,#140 in Education,Free,246.7 MB,"English, French, Indonesian, Japanese, Korean, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Vietnamese",Version 9.21.1010,Education
672,Kids Games Free: Toddler & Baby Learning Fruits !,https://itunes.apple.com/sa/app/kids-games-free-toddler-baby-learning-fruits/id485470008?mt=8,"Kids Games Free: Toddler & Baby Learning Fruits !
          4+",NA,MagisterApp,3.8,"3.8, 124 Ratings",Free,29.8 MB,"English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",Version 1.6,Education
673,قصص عصافير : قصص اطفال,https://itunes.apple.com/sa/app/%D9%82%D8%B5%D8%B5-%D8%B9%D8%B5%D8%A7%D9%81%D9%8A%D8%B1-%D9%82%D8%B5%D8%B5-%D8%A7%D8%B7%D9%81%D8%A7%D9%84/id939646782?mt=8,"قصص عصافير : قصص اطفال
          4+",NA,Asafeer Education Technologies FZ LLC,4.3,#164 in Education,Free,69.2 MB,Arabic,Version 2.5,Education
674,Dino Hospital -Dinosaur Doctor Games for Baby Kids,https://itunes.apple.com/sa/app/dino-hospital-dinosaur-doctor-games-for-baby-kids/id549750492?mt=8,"Dino Hospital -Dinosaur Doctor Games for Baby Kids
          4+",NA,JP Game LLC,3.5,"3.5, 4 Ratings",Free,68.2 MB,English,Version 2.1,Education
675,Hopster: Kids TV & Learning,https://itunes.apple.com/sa/app/hopster-kids-tv-learning/id689165391?mt=8,"Hopster: Kids TV & Learning
          4+","TV, Music and Games for Kids",Hopster,4.3,"4.3, 17 Ratings",Free,156.1 MB,"English, French, Icelandic",Version 3.38.55,Education
676,تعليم جدول الضرب,https://itunes.apple.com/sa/app/%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%AC%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B6%D8%B1%D8%A8/id1040235164?mt=8,"تعليم جدول الضرب
          4+",NA,Mohamed Elwan,3.7,"3.7, 24 Ratings",Free,23.3 MB,English,Version 1.4,Education
677,University Library,https://itunes.apple.com/sa/app/university-library/id982439623?mt=8,"University Library
          12+",NA,NEelwafurat.com,1.2,"1.2, 17 Ratings",Free,65.3 MB,English,Version 1.1.5,Education
678,المصحف الشريف بدون انترنت,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%85%D8%B5%D8%AD%D9%81-%D8%A7%D9%84%D8%B4%D8%B1%D9%8A%D9%81-%D8%A8%D8%AF%D9%88%D9%86-%D8%A7%D9%86%D8%AA%D8%B1%D9%86%D8%AA/id1183807100?mt=8,"المصحف الشريف بدون انترنت
          4+",NA,ABDELRAHMAN ALHAJ HUSSEIN,3.9,#181 in Education,Free,175.9 MB,English,NA,Education
679,"Speak English - Listen, Repeat, Compare",https://itunes.apple.com/sa/app/speak-english-listen-repeat-compare/id562851310?mt=8,"Speak English - Listen, Repeat, Compare
          4+",NA,chiwa media GmbH,3.3,"3.3, 4 Ratings",Free,49.2 MB,English,Version 4.0,Education
680,Pepi Tree Lite,https://itunes.apple.com/sa/app/pepi-tree-lite/id587363965?mt=8,"Pepi Tree Lite
          4+",NA,Pepi Play,4.2,"4.2, 27 Ratings",Free,82.9 MB,"English, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Version 1.3.2,Education
681,لعبة براعم الاطفال ٢ تعليميه,https://itunes.apple.com/sa/app/%D9%84%D8%B9%D8%A8%D8%A9-%D8%A8%D8%B1%D8%A7%D8%B9%D9%85-%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84-%D9%A2-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D9%87/id975001733?mt=8,"لعبة براعم الاطفال ٢ تعليميه
          4+",العاب اطفال قصص طيور الجنه,NoonTale Ltd,4.5,"4.5, 4 Ratings",Free,121.8 MB,English,Version 1.5,Education
682,Elevate - Brain Training,https://itunes.apple.com/sa/app/elevate-brain-training/id875063456?mt=8,"Elevate - Brain Training
          4+",Award-winning brain games,"Elevate, Inc.",4.8,"4.8, 367 Ratings",Free,327.8 MB,"English, Spanish",Version 5.9.2,Education
683,Learn English Easily,https://itunes.apple.com/sa/app/learn-english-easily/id492163040?mt=8,"Learn English Easily
          4+",Study English Lesson Games,Wan Peng,4.2,"4.2, 115 Ratings",Free,115 MB,English,Version 1.9.1,Education
684,Johnny Grammar Word Challenge,https://itunes.apple.com/sa/app/johnny-grammar-word-challenge/id432488501?mt=8,"Johnny Grammar Word Challenge
          4+",Learn English in 60 seconds,British Council,4.7,"4.7, 1.1K Ratings",Free,104 MB,"English, Japanese, Spanish",Version 3.5.1,Education
685,Learn English by Conversation,https://itunes.apple.com/sa/app/learn-english-by-conversation/id1035251420?mt=8,"Learn English by Conversation
          4+",Learning Listening & Speaking,Duong Nguyen,4.3,"4.3, 51 Ratings",Free,21 MB,"English, Arabic, Catalan, Czech, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Hungarian, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Slovak, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Ukrainian, Vietnamese",Version 4.32,Education
686,تطبيق تستاهل,https://itunes.apple.com/sa/app/%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%AA%D8%B3%D8%AA%D8%A7%D9%87%D9%84/id1435726531?mt=8,"تطبيق تستاهل
          4+",TESTAHEL,testahel,4,#84 in Education,Free,66 MB,"English, Arabic",Version 3.5,Education
687,My First Book of Arabic HD,https://itunes.apple.com/sa/app/my-first-book-of-arabic-hd/id443895689?mt=8,"My First Book of Arabic HD
          4+",NA,Ilmasoft,5,"5.0, 1 Rating",Free,60.4 MB,English,Version 4.0.1,Education
688,اختبار تعليم القيادة,https://itunes.apple.com/sa/app/%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1-%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D9%82%D9%8A%D8%A7%D8%AF%D8%A9/id1286534763?mt=8,"اختبار تعليم القيادة
          4+",NA,Faisal Bin Khalid and Partners Co.,4.4,#47 in Education,Free,8.8 MB,English,NA,Education
689,Babbel – Learn Languages,https://itunes.apple.com/sa/app/babbel-learn-languages/id829587759?mt=8,"Babbel – Learn Languages
          4+","Speak Spanish, French & more",Lesson Nine GmbH,4.5,"4.5, 124 Ratings",Free,195.6 MB,"English, French, German, Italian, Polish, Portuguese, Spanish, Swedish",Version 20.19.0,Education
690,لعبه الاستغمايه -  العاب اختبارات قوه الملاحظه,https://itunes.apple.com/sa/app/%D9%84%D8%B9%D8%A8%D9%87-%D8%A7%D9%84%D8%A7%D8%B3%D8%AA%D8%BA%D9%85%D8%A7%D9%8A%D9%87-%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D8%AE%D8%AA%D8%A8%D8%A7%D8%B1%D8%A7%D8%AA-%D9%82%D9%88%D9%87-%D8%A7%D9%84%D9%85%D9%84%D8%A7%D8%AD%D8%B8%D9%87/id1086536091?mt=8,"لعبه الاستغمايه -  العاب اختبارات قوه الملاحظه
          4+",NA,BABYBUS,3.9,#163 in Education,Free,100.2 MB,Arabic,Version 9.11.0000,Education
691,تلوين ورسم الحيوانات للأطفال,https://itunes.apple.com/sa/app/%D8%AA%D9%84%D9%88%D9%8A%D9%86-%D9%88%D8%B1%D8%B3%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA-%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84/id596496199?mt=8,"تلوين ورسم الحيوانات للأطفال
          4+",تطبيق تعليمي وترفيهي للأطفال,Belhawary,4.4,"4.4, 29 Ratings",Free,21.7 MB,English,Version 1.8,Education
692,الحروف العربية و الانجليزية,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D8%AD%D8%B1%D9%88%D9%81-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88-%D8%A7%D9%84%D8%A7%D9%86%D8%AC%D9%84%D9%8A%D8%B2%D9%8A%D8%A9/id1045944831?mt=8,"الحروف العربية و الانجليزية
          4+",NA,Mohamed Elwan,3.8,#190 in Education,Free,35.3 MB,English,Version 5,Education
693,مدرسة المرح,https://itunes.apple.com/sa/app/%D9%85%D8%AF%D8%B1%D8%B3%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D8%AD/id1020904630?mt=8,"مدرسة المرح
          4+",NA,Nour Saffaf,4,"4.0, 10 Ratings",Free,139.4 MB,English,Version 6.0.1,Education
694,تعليم التصوير للأطفال - المصور الصغير,https://itunes.apple.com/sa/app/%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%AA%D8%B5%D9%88%D9%8A%D8%B1-%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84-%D8%A7%D9%84%D9%85%D8%B5%D9%88%D8%B1-%D8%A7%D9%84%D8%B5%D8%BA%D9%8A%D8%B1/id1056519455?mt=8,"تعليم التصوير للأطفال - المصور الصغير
          4+",NA,BABYBUS,3.9,"3.9, 7 Ratings",Free,139.3 MB,Arabic,Version 9.12.0000,Education
695,لعبة براعم الاطفال ١ تعليميه,https://itunes.apple.com/sa/app/%D9%84%D8%B9%D8%A8%D8%A9-%D8%A8%D8%B1%D8%A7%D8%B9%D9%85-%D8%A7%D9%84%D8%A7%D8%B7%D9%81%D8%A7%D9%84-%D9%A1-%D8%AA%D8%B9%D9%84%D9%8A%D9%85%D9%8A%D9%87/id975001729?mt=8,"لعبة براعم الاطفال ١ تعليميه
          4+",العاب اطفال قصص طيور الجنه,NoonTale Ltd,5,#192 in Education,Free,161.6 MB,English,Version 1.5,Education
696,Athkari | أذكاري,https://itunes.apple.com/sa/app/athkari-%D8%A3%D8%B0%D9%83%D8%A7%D8%B1%D9%8A/id1001886248?mt=8,"Athkari | أذكاري
          4+",NA,Abdulrahman Alsaab,4.4,#151 in Education,Free,25.7 MB,English,Version 3.1,Education
697,My Pretend Home & Family,https://itunes.apple.com/sa/app/my-pretend-home-family/id1350534381?mt=8,"My Pretend Home & Family
          4+",Preschool & Kindergarten Games,Beansprites LLC,3.5,"3.5, 127 Ratings",Free,150.4 MB,"English, Dutch, French, German, Italian, Japanese, Russian, Simplified Chinese, Spanish",Version 1.3,Education
698,Sunny School Stories,https://itunes.apple.com/sa/app/sunny-school-stories/id1335150128?mt=8,"Sunny School Stories
          4+",My high school life simulator,PlayToddlers,3.3,#177 in Education,Free,101.4 MB,"English, Portuguese, Spanish",Version 1.0.3,Education
699,Puffin Academy,https://itunes.apple.com/sa/app/puffin-academy/id716707933?mt=8,"Puffin Academy
          4+",NA,"CloudMosa, Inc.",4.1,"4.1, 7 Ratings",Free,47 MB,"English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Version 4.8.2,Education
700,بوابة المستقبل-الطالب-الشرقية,https://itunes.apple.com/sa/app/%D8%A8%D9%88%D8%A7%D8%A8%D8%A9-%D8%A7%D9%84%D9%85%D8%B3%D8%AA%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D8%B7%D8%A7%D9%84%D8%A8-%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D9%8A%D8%A9/id1274984698?mt=8,"بوابة المستقبل-الطالب-الشرقية
          4+",بوابة المستقبل-الطالب-الشرقية,Tatweer Educational Technologies,3.3,#139 in Education,Free,60.6 MB,English,Version 1.6.9,Education
701,تحفه العروس,https://itunes.apple.com/sa/app/%D8%AA%D8%AD%D9%81%D9%87-%D8%A7%D9%84%D8%B9%D8%B1%D9%88%D8%B3/id525431076?mt=8,"تحفه العروس
          12+",NA,Mohammed Mohaisen,1,"1.0, 1 Rating",Free,14.2 MB,English,Version 1.6,Education
702,Dr. Panda Town: Holiday,https://itunes.apple.com/sa/app/dr-panda-town-holiday/id1319740876?mt=8,"Dr. Panda Town: Holiday
          4+","Go camping, sailing, and more!",Dr. Panda Ltd,3.4,"3.4, 310 Ratings",Free,237.5 MB,"English, Danish, Dutch, Finnish, French, German, Indonesian, Italian, Japanese, Korean, Norwegian, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Version 1.5.2,Education
703,تعليم الأستحمام للأطفال - العاب الباندا,https://itunes.apple.com/sa/app/%D8%AA%D8%B9%D9%84%D9%8A%D9%85-%D8%A7%D9%84%D8%A3%D8%B3%D8%AA%D8%AD%D9%85%D8%A7%D9%85-%D9%84%D9%84%D8%A3%D8%B7%D9%81%D8%A7%D9%84-%D8%A7%D9%84%D8%B9%D8%A7%D8%A8-%D8%A7%D9%84%D8%A8%D8%A7%D9%86%D8%AF%D8%A7/id1135330829?mt=8,"تعليم الأستحمام للأطفال - العاب الباندا
          4+",NA,BABYBUS,3.3,#174 in Education,Free,122.3 MB,Arabic,Version 9.11.1000,Education
704,المنتقى من فتاوى ابن باز,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%85%D9%86%D8%AA%D9%82%D9%89-%D9%85%D9%86-%D9%81%D8%AA%D8%A7%D9%88%D9%89-%D8%A7%D8%A8%D9%86-%D8%A8%D8%A7%D8%B2/id471679174?mt=8,"المنتقى من فتاوى ابن باز
          4+",NA,Zad Group for computer services est,4.6,"4.6, 76 Ratings",Free,79.1 MB,English,Version 2.1,Education
705,My First Vehicle Universe,https://itunes.apple.com/sa/app/my-first-vehicle-universe/id543483887?mt=8,"My First Vehicle Universe
          4+",Interactive Educational Play,Kids Games Club by TabTale,3,"3.0, 2 Ratings",Free,88.9 MB,English,Version 2.8,Education
706,Socrative Student,https://itunes.apple.com/sa/app/socrative-student/id477618130?mt=8,"Socrative Student
          4+",NA,Showbie Inc.,4.5,"4.5, 19 Ratings",Free,13.7 MB,English,Version 2.2.4,Education
707,Slader Math Homework Answers,https://itunes.apple.com/sa/app/slader-math-homework-answers/id579962583?mt=8,"Slader Math Homework Answers
          4+",Textbook Solutions and HW Help,"Slader, LLC",4.2,#100 in Education,Free,125.6 MB,English,Version 5.36,Education
708,Toilet Training-BabyBus,https://itunes.apple.com/sa/app/toilet-training-babybus/id939999066?mt=8,"Toilet Training-BabyBus
          4+",NA,BABYBUS,3.9,"3.9, 8 Ratings",Free,178.1 MB,"English, French, Indonesian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Thai, Traditional Chinese, Vietnamese",Version 9.21.1000,Education
709,ABC 123 Reading Writing Practice HD,https://itunes.apple.com/sa/app/abc-123-reading-writing-practice-hd/id459434624?mt=8,"ABC 123 Reading Writing Practice HD
          4+",NA,NeoFinger,2.5,"2.5, 2 Ratings",Free,38.2 MB,English,Version 4.2.1,Education
710,Endless Learning Academy,https://itunes.apple.com/sa/app/endless-learning-academy/id1034523226?mt=8,"Endless Learning Academy
          4+",Comprehensive early learning,Originator Inc.,4.5,"4.5, 15 Ratings",Free,782.2 MB,English,Version 8.0,Education
711,Fun English Kids Learn English,https://itunes.apple.com/sa/app/fun-english-kids-learn-english/id428920239?mt=8,"Fun English Kids Learn English
          4+",Language Learning for Children,Studycat Limited,4.8,"4.8, 13 Ratings",Free,124.6 MB,"English, Danish, Dutch, Finnish, French, German, Greek, Indonesian, Italian, Japanese, Korean, Malay, Norwegian Bokmål, Portuguese, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Version 16.7.4,Education
712,جوالك على راسك ٢- تعلم انكليزي,https://itunes.apple.com/sa/app/%D8%AC%D9%88%D8%A7%D9%84%D9%83-%D8%B9%D9%84%D9%89-%D8%B1%D8%A7%D8%B3%D9%83-%D9%A2-%D8%AA%D8%B9%D9%84%D9%85-%D8%A7%D9%86%D9%83%D9%84%D9%8A%D8%B2%D9%8A/id1224738382?mt=8,"جوالك على راسك ٢- تعلم انكليزي
          4+",تعليم مفردات اللغة الانكليزية,TapNext,4,"4.0, 62 Ratings",Free,60.1 MB,English,Version 1.3,Education
713,(How to) Pronounce,https://itunes.apple.com/sa/app/how-to-pronounce/id717945069?mt=8,"(How to) Pronounce
          4+",Learn pronunciation of words,Dawid Pietrala,4.7,#122 in Education,Free,13.7 MB,"English, Japanese, Polish",Version 1.5.1,Education
714,Star Walk 2 Ads+: Sky Map AR,https://itunes.apple.com/sa/app/star-walk-2-ads-sky-map-ar/id1112481571?mt=8,"Star Walk 2 Ads+: Sky Map AR
          4+",Find Stars & Constellations 3D,Vito Technology Inc.,4.6,#61 in Education,Free,292.3 MB,"English, Dutch, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Version 2.8,Education
715,Bamba Wonderland: Kids Funfair,https://itunes.apple.com/sa/app/bamba-wonderland-kids-funfair/id1113941087?mt=8,"Bamba Wonderland: Kids Funfair
          4+",Fair ground fun for families!,Mezmedia,3.5,"3.5, 127 Ratings",Free,292.7 MB,English,Version 1.0.4,Education
716,الفرشاه الشقيه - لعبه تنظيف الاسنان - طبيب الاسنان,https://itunes.apple.com/sa/app/%D8%A7%D9%84%D9%81%D8%B1%D8%B4%D8%A7%D9%87-%D8%A7%D9%84%D8%B4%D9%82%D9%8A%D9%87-%D9%84%D8%B9%D8%A8%D9%87-%D8%AA%D9%86%D8%B8%D9%8A%D9%81-%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86-%D8%B7%D8%A8%D9%8A%D8%A8-%D8%A7%D9%84%D8%A7%D8%B3%D9%86%D8%A7%D9%86/id1070488445?mt=8,"الفرشاه الشقيه - لعبه تنظيف الاسنان - طبيب الاسنان
          4+",NA,BABYBUS,3.6,"3.6, 7 Ratings",Free,87.9 MB,Arabic,Version 9.11.1000,Education
717,Little Panda Fireman,https://itunes.apple.com/sa/app/little-panda-fireman/id951391613?mt=8,"Little Panda Fireman
          4+",NA,BABYBUS,2.9,"2.9, 11 Ratings",Free,125.7 MB,"English, French, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese",Version 9.21.1000,Education
718,فتاوى إسلام ويب Islamweb FATWA,https://itunes.apple.com/sa/app/%D9%81%D8%AA%D8%A7%D9%88%D9%89-%D8%A5%D8%B3%D9%84%D8%A7%D9%85-%D9%88%D9%8A%D8%A8-islamweb-fatwa/id560770892?mt=8,"فتاوى إسلام ويب Islamweb FATWA
          4+",NA,Islamweb.net - إسلام ويب.نت,4.7,"4.7, 76 Ratings",Free,40.2 MB,English,Version 3.0,Education
719,جامعة الملك خالد - آكاديميا,https://itunes.apple.com/sa/app/%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%AE%D8%A7%D9%84%D8%AF-%D8%A2%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A%D8%A7/id766348905?mt=8,"جامعة الملك خالد - آكاديميا
          4+",NA,Adaptive TechSoft,2.1,"2.1, 131 Ratings",Free,12.4 MB,"English, Arabic",Version 2.3,Education
720,SHAHID VOD,https://itunes.apple.com/sa/app/shahid-vod/id879915134?mt=8,"SHAHID VOD
          4+",NA,MBC Group,3.1,#3 in Entertainment,Free,34.3 MB,English,Version 2.10.1,Entertainment
721,Netflix,https://itunes.apple.com/sa/app/netflix/id363590051?mt=8,"Netflix
          4+",NA,"Netflix, Inc.",4.1,#2 in Entertainment,Free,81.7 MB,"English, Arabic, Danish, Dutch, Finnish, French, German, Greek, Hebrew, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish",Version 11.28.0,Entertainment
722,Jalsah جلسة,https://itunes.apple.com/sa/app/jalsah-%D8%AC%D9%84%D8%B3%D8%A9/id1106410643?mt=8,"Jalsah جلسة
          4+",NA,Safanah Alhumaid,4,#20 in Entertainment,Free,16.4 MB,English,Version 2.2,Entertainment
723,Yalla-Group Voice Chat Rooms,https://itunes.apple.com/sa/app/yalla-group-voice-chat-rooms/id1091902866?mt=8,"Yalla-Group Voice Chat Rooms
          17+",Group Voice Chat Rooms,Yalla Technology FZ-LLC,4,#9 in Entertainment,Free,154.2 MB,"English, Arabic, Indonesian, Turkish",Version 2.7.6,Entertainment
724,إلا صلاتي-اوقات الصلاة والقبلة,https://itunes.apple.com/sa/app/%D8%A5%D9%84%D8%A7-%D8%B5%D9%84%D8%A7%D8%AA%D9%8A-%D8%A7%D9%88%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D9%84%D8%A7%D8%A9-%D9%88%D8%A7%D9%84%D9%82%D8%A8%D9%84%D8%A9/id543714948?mt=8,"إلا صلاتي-اوقات الصلاة والقبلة
          4+",الأذكار التقويم الهجري والسنة,Ismail Alhmoud,4.1,#25 in Entertainment,Free,60.7 MB,"English, Arabic",Version 6.3.7,Entertainment
725,STARZ PLAY,https://itunes.apple.com/sa/app/starz-play/id962284784?mt=8,"STARZ PLAY
          12+",For Middle East & North Africa,Playco Entertainment FZ LLC,4.2,#18 in Entertainment,Free,126.9 MB,"English, Arabic, French",Version 4.8,Entertainment
726,PlayStation App,https://itunes.apple.com/sa/app/playstation-app/id410896080?mt=8,"PlayStation App
          12+",NA,PlayStation Mobile Inc.,4.5,#15 in Entertainment,Free,49.2 MB,"English, Arabic, Czech, Danish, Dutch, Finnish, French, German, Greek, Hungarian, Indonesian, Italian, Japanese, Korean, Norwegian Bokmål, Polish, Portuguese, Romanian, Russian, Simplified Chinese, Spanish, Swedish, Thai, Traditional Chinese, Turkish, Vietnamese",Version 19.03.0,Entertainment
727,مسلسلات تركية 2,https://itunes.apple.com/sa/app/%D9%85%D8%B3%D9%84%D8%B3%D9%84%D8%A7%D8%AA-%D8%AA%D8%B1%D9%83%D9%8A%D8%A9-2/id954158583?mt=8,"مسلسلات تركية 2
          9+",NA,Khalid Hussein,3.5,#29 in Entertainment,Free,2.3 MB,English,Version 1.1,Entertainment
728,Colorfy: Colouring Art Book,https://itunes.apple.com/sa/app/colorfy-colouring-art-book/id1009442510?mt=8,"Colorfy: Colouring Art Book
          4+",Colour & recolor for adults,Fun Games For Free,4.8,#23 in Entertainment,Free,174.4 MB,"English, Arabic, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish, Traditional Chinese, Turkish",Version 5.8,Entertainment
729,Akinator,https://itunes.apple.com/sa/app/akinator/id933135994?mt=8,"Akinator
          12+",Genie who can read your mind,Elokence,4.3,#11 in Entertainment,Free,186.6 MB,"English, Arabic, Dutch, French, German, Hebrew, Italian, Japanese, Korean, Polish, Portuguese, Russian, Simplified Chinese, Spanish, Turkish",Version 7.0,Entertainment
730,Video Tube™: Stream Play Watch,https://itunes.apple.com/sa/app/video-tube-stream-play-watch/id566564331?mt=8,"Video Tube™: Stream Play Watch
          12+",Music Video Player for YouTube,Yau You Music Video Professionals - Tube Studio,4.3,#94 in Entertainment,Free,67.5 MB,English,Version 4.5.16,Entertainment
